Coral,Bleaching,Disease,Buried,States
R3S1-CP-1-5,0,0,0,0
R3S1-CP-1-6,0,0,0,0
R3S1-CP-2-1,0,0,0,0
R3S1-CP-2-2,0,0,0,0
R3S1-CP-2-3,0,0,0,0
R3S1-CP-2-4,0,0,0,0
R3S1-CP-2-5,3,0,0,3
R3S1-CP-2-6,0,0,0,0
R3S1-CP-3-1,0,0,0,0
R3S1-CP-3-2,0,0,0,0
R3S1-CP-3-3,3,0,0,3
R3S1-CP-3-4,0,0,0,0
R3S1-CP-3-5,0,0,0,0
R3S1-CP-3-6,0,0,0,0
R3S1-CP-3-7,0,0,0,0
R3S2-LR-1-1,3,0,0,3
R3S2-LR-1-2,0,0,0,0
R3S2-LR-1-3,0,0,0,0
R3S2-LR-1-4,0,0,0,0
R3S2-LR-1-5,0,0,0,0
R3S2-LR-1-6,0,0,0,0
R3S2-LR-1-7,0,1,0,1
R3S2-LR-2-1,0,0,0,0
R3S2-LR-2-2,0,0,0,0
R3S2-LR-2-3,0,0,0,0
R3S2-LR-2-4,0,0,0,0
R3S2-LR-2-5,0,0,0,0
R3S2-LR-2-6,0,0,0,0
R3S2-LR-2-7,0,0,0,0
R3S2-LR-2-8,0,1,0,1
R3S2-LR-3-1,3,0,0,3
R3S2-LR-3-2,0,0,0,0
R3S2-LR-3-3,0,0,0,0
R3S2-LR-3-4,0,0,0,0
R3S2-LR-3-5,0,0,0,0
R3S2-LR-3-6,0,0,0,0
R3S2-LR-3-7,0,1,0,1
R3S2-LR-3-8,3,0,5,8
R3S2-LR-3-9,0,0,0,0
R3S2-LR-3-10,0,0,0,0
R3S3-SG-1-1,0,1,0,1
R3S3-SG-1-2,0,0,0,0
R3S3-SG-1-3,0,0,0,0
R3S3-SG-1-4,3,0,0,3
R3S3-SG-1-5,0,0,0,0
R3S3-SG-1-6,0,1,0,1
R3S3-SG-1-7,0,1,0,1
R3S3-SG-1-8,0,0,0,0
R3S3-SG-2-1,0,0,0,0
R3S3-SG-2-2,3,0,0,3
R3S3-SG-2-3,3,0,0,3
R3S3-SG-2-4,0,0,0,0
R3S3-SG-2-5,0,0,0,0
R3S3-SG-2-6,3,0,0,3
R3S3-SG-2-7,3,1,0,4
R3S3-SG-2-8,0,1,0,1
R3S3-SG-2-9,3,1,0,4
R3S3-SG-3-1,0,0,0,0
R3S3-SG-3-2,3,0,0,3
R3S3-SG-3-3,0,0,0,0
R3S3-SG-3-4,0,0,0,0
R3S3-SG-3-5,0,0,0,0
R3S3-SG-3-6,0,1,0,1
R3S3-SG-3-7,0,1,0,1
R3S3-SG-3-8,0,0,0,0
R3N1-LR-1-1,0,0,0,0
R3N1-LR-1-2,0,0,0,0
R3N1-LR-1-3,0,0,0,0
R3N1-LR-1-4,0,0,0,0
R3N1-LR-1-5,0,0,0,0
R3N1-LR-1-6,0,0,0,0
R3N1-LR-1-7,0,0,0,0
R3N1-LR-2-1,0,0,5,5
R3N1-LR-2-2,0,0,5,5
R3N1-LR-2-3,0,0,0,0
R3N1-LR-2-4,3,0,5,8
R3N1-LR-2-5,0,0,0,0
